index	sentence	check	triplet
44	판 또는 형강으로 조립한 압축부재의 개단면에는 일련의 작업구멍을 갖는 연속된 유공커버플레이트가 적용될 수 있다.	0	
45	외력이 강재 단면과 매입 콘크리트 또는 충전 콘크리트에 동시에 가해지는 경우, 콘크리트에서 강재 또는 강재에서 콘크리트로 전달되어야 할 힘은 강재에 직접 가해지는 외력의 일부와 식(4.2-56)에서 산정한 힘과의 차이로 한다.	0	
46	프리스트레스트콘크리트의 경우에는 최외단 긴장재의 순인장변형률을 기준으로 하며 압축지배변형률 한계는 0.002로 한다.	0	
47	강재로 된 부재 또는 다른 재료와 강재가 합성으로 된 부재는 제작, 운반, 시공 및 사용 중의 각 단계에서 검토해야 한다.	0	
48	강구조물의 주요 구조부는 건축물의 피난․방화구조 등의 기준에 관한 규칙 제3조 내화구조에서 정하는 내화구조를 사용하여야 한다.	1	['구조부는', '내화구조를', '한다.']
49	정착길이 내에 1개 이상의 교차철선이 있고 이 교차철선이 위험단면에서 50mm 이상 떨어져 있는 용접이형철망의 철망계수는 다음 중 큰 값을 택하여야 한다.	0	
50	사용 콘크리트의 전체량이 40m3보다 적을 경우 책임구조기술자의 판단으로 만족할 만한 강도라고 인정될 때는 강도 시험을 생략할 수 있다.	1	['때는', '시험을', '생략할 수 있다.']
51	두 주축에 대해 휨모멘트를 받고 있는 압축부재에 있어서 각 축에 대한 휨모멘트는 해당 축의 구속조건을 기초로 하여 각각 증대시켜야 한다.	0	
52	기둥 외주면의 접합부의 휨강도는 0.02의 층간변위각에서 적어도 보의 공칭소성모멘트의 80% 이상이어야 한다.	0	
53	최대 계수전단력은 다음 (2)의 규정에 따라 계산하여야 하며, 기둥, 주각 또는 벽체를 지지하는 기초판에서 전단력에 대한 위험단면의 위치는 기둥, 주각 또는 벽체의 전면으로 하여야 한다.	0	
54	기초판의 철근정착은 KDS 14 20 52의 규정에 따라야 한다.	0	
55	시험실에서 양생한 공시체의 제작, 시험 및 강도는 다음 ①에서 ④까지 규정을 만족하여야 한다.	1	['강도는', '규정을', '만족하여야 한다.']
56	특히 압축력이 작용하는 경우는 면외변형을 고려해야 한다.	1	['경우는', '면외변형을', '고려해야 한다.']
57	전체적인 해석을 하지 않는 한, 내부 받침부에서 슬래브 상하의 받침부재는 상하 부재의 강성에 직접 비례하여 식 (4.1-3)에 규정된 휨모멘트를 견디도록 설계하여야 한다.	0	
58	이 기준은 건설기준 코드체계 전환에 따라 기존 건설기준(설계기준, 표준시방서) 간 중복․상충을 비교 검토하여 코드로 통합 정비하였다.	1	['기준을', '상충을', '정비하였다.']
59	공칭지압과 전단마찰강도는 KDS 14 20 20과 KDS 14 20 22의 요구사항을 만족해야 한다.	1	['전단마찰강도는', '요구사항을', '만족해야 한다.']
60	탄성연속체 역학에 근거하여 2축응력요소의 응력-변형률 관계를 설정할 수 있다.	0	
61	사용한계상태조합에서 강재의 응력을 계산할 때 다음의 방법을 적용할 수 있다.	0	
62	축하중을 받는 2축대칭 충전형 합성부재의 설계압축강도는 4.2.8.2.1.2에 따라 휨좌굴 한계상태로부터 구하며 다음 식을 사용한다.	1	['설계압축강도는', '식을', '사용한다.']
63	철근의 시험은 KS B 0802 및 KS B 0804에 따라야 한다.	0	
64	설계지압강도는 국부압축항복의 한계상태를 가정하여 다음과 같이 산정한다.	1	['설계지압강도는', '한계상태를', '가정하여']
65	소요강도를 구하기 위해 사용되는 휨모멘트는 하중계수 1.0인 프리스트레스에 의해 발생되는 반력으로 인한 휨모멘트와 계수하중에 의한 휨모멘트의 합으로 계산하여야 한다.	0	
66	모든 구조물은 부재의 강도와 강성에 관한 요구사항과 더불어, 부재의 변형과 전체 골조의 안정성을 고려하여 설계되어야 한다.	1	['구조물은', '안정성을', '한다.']
67	이 철근은 정착장치 전면에 배치될 수 있으며, 각 정착장치 앞쪽의 거리 내에 위치하여야 한다.	0	
68	충분한 강성을 갖고 있는 바닥틀에 연결된 플랜지에는 수평가새를 설치하지 않아도 좋다.	0	
69	U형 스터럽을 구성하는 용접원형철망의 각 가닥은 다음과 같다.	0	
70	콘크리트 공시체의 제작 및 양생 방법은 KS F 2403에 따라 제작하고 양생하는 방법에 따라야 한다.	0	
71	모든 외력이 강재 단면에 직접 가해지는 경우, 콘크리트에 전달되어야 할 힘은 다음과 같이 구한다.	0	
72	슬래브 받침부에서 지진에 의한 계수휨모멘트는 시설물별 기준에서 제시하는 조합하중에 따라 결정하여야 한다.	0	
73	높이가 635mm 이상인 링크에는 유사한 중간웨브 보강재를 링크웨브의 양면에 설치해야 한다.	0	
74	현저히 큰 축방향 인장력이 작용하는 부재의 경우 다음 (2)의 식 (4.2-6)을 사용하여 상세한 계산을 하지 않는 한 전단철근이 모든 전단력에 저항하도록 설계하여야 한다.	0	
75	압축력을 받는 압축판요소의 비세장판 요소와 세장판 요소를 구분하는 폭두께비 한계값은 표 4.2-2에 따른다.	0	
77	앵커는 설계 도서 또는 제조사의 설치방법에 따라 설치하여야 한다.	0	
78	깊은보는 비선형 변형률 분포를 고려하여 설계하거나 KDS 14 20 24에 따라 설계하여야 하며, 횡좌굴을 고려하여야 한다.	1	['깊은보는', '횡자굴을', '고려하여야 한다.']
79	단, 피로하중을 받는 교량의 최대 모멘트 위치에는 적용할 수 없다.	0	
80	부모멘트 구역에서는 받침부의 양쪽으로 부착철근을 순경간의 1/6 이상 연장 배치하여야 한다.	0	
81	(2)에서 규정된 바와 같이 접합부가 구조 부재로 구속되어 있지 않으면, 4.5.4에 따르는 횡방향 후프철근을 접합부 내에 두어야 한다.	0	
82	(1)의 규정에 따라 설계된 강관부재의 단부를 용접이음하는 경우에는 반드시 온둘레용접을 해야 하고, 그 방법은 일반적으로 필렛용접으로 한다.	0	
83	띠철근의 지름은 합성부재 단면의 가장 긴 변의 1/50배 이상이어야 하지만, D10 철근 이상이고 D16 철근 이하로 하여야 한다.	0	
84	수평가새의 필요성을 검토할 때 다음 사항을 고려한다.	0	
85	다발철근의 간격과 최소 피복 두께를 철근지름으로 나타낼 경우, 다발철근의 지름은 등가단면적으로 환산된 한 개의 철근지름으로 보아야 한다.	0	
86	벽체의 모든 시공줄눈은 콘크리트표준시방서에 따라야 하며, 접합면은 KDS 14 20 22(4.6.3(1))에 규정된 바와 같이 거칠게 하여야 한다.	0	
87	최소항복강도가 460보다 큰 강재의 경우 구멍의 직경은 모재판과 핀 보강판의 두께를 합한 값의 5배를 초과해서는 안 된다.	1	['최소항복강도가', '5배를', '안 된다.']
88	구속철근을 한 방향으로 배치한다면 그 각은 40° 이상이어야 한다.	0	
89	미관이 중요한 구조물은 발주자 또는 건축주의 특별한 요구가 없는 경우 내구성에 대한 허용균열폭으로 검토할 수 있다.	0	
90	슬래브 시스템과 일체로 이루어진 기둥과 벽체들은 슬래브 시스템에 작용하는 계수하중에 의해 발생하는 휨모멘트에 견딜 수 있어야 한다.	0	
91	위험단면의 철근 간격은 슬래브 두께의 2배 이하, 또한 300mm 이하로 하여야 한다.	0	
92	받침점의 한쪽의 부모멘트가 다른 쪽 값의 80%보다 작을 때는 그 차이를 슬래브의 상대 강도에 비례하여 재분배시켜야 한다.	0	
93	버팀판 앞면의 수동토압 및 타이로드 장력과 버팀판 뒷면의 주동토압의 비가 소요 안전율 이상이 되도록 설치 높이와 깊이를 정한다.	0	
94	소요인장강도와 소요전단강도는 설계요구사항에 따른 하중조합에서 요구하는 강도이다.	0	
95	종방향으로 철근을 구부리거나 철근이 끝나는 단부의 허용오차는 50mm이다.	0	
96	연직하중으로 인한 전단이 내부 기둥의 받침부에 전달될 경우 다음 (2)에서 (10)까지 규정을 적용하여야 한다.	0	
97	전단강도는 다음 식 (4.9-1)과 식 (4.9-2)에 의해 계산할 수 있으나, 두 값 중에서 작은 값이어야 한다.	0	
98	환경계수는 시공될 콘크리트 구조물과 콘크리트 재료의 성능저하 환경조건에 대한 안전율로서 적용한다.	0	
99	외력이 매입형 합성부재 또는 충전형 합성부재에 축방향으로 가해질 때, 부재로의 힘 도입과 부재 안에서의 길이방향 전단력의 전달은 이 조항에 있는 힘의 분배에 대한 요구사항에 따라 평가한다.	0	
100	이 비틀림 부재는 휨모멘트를 산정하는 경간방향에 직교하고 기둥 측면부터 등가골조로 구획된 양측 슬래브 판 중심선까지 연장되는 것으로 가정할 수 있다.	0	
101	지진하중을 포함하는 하중조합의 경우 부재에 작용하는 지진하중은 다음과 같이 산정한다.	0	
102	4.3.3.1.10에 따라 설계된 전단연결재로 콘크리트 바닥판이 강재단면에 연결되지 않은 단면은 비합성단면으로 설계한다.	0	
103	링크와 가새는 C.2.7.2와 C.2.7.3에서 설명하는 대로 강재 부재를 사용해야 한다.	1	['가새는', '부재를', '사용해야 한다.']
104	단면의 추축에 관한 휨에 의해 발생되는 하부플랜지의 응력을 산정할 때 하부플랜지 경사의 효과를 고려해야 한다.	0	
105	접합부가 2개 이상의 주요 지강관을 가지고 있거나 한 평면 이상의 평면에서 지강관을 갖는 경우, 그 접합은 일반이음 또는 다평면 이음으로 분류한다.	1	['접합부가', '지강관을', '있거나']
106	설계 원칙관로구조물은 4.8.4.1.4에서 정하는 하중에 대해서 안전하고, 충분한 액밀성 및 기밀성을 가지며, 내구성이 우수하고 점검 및 보수가 용이한 구조로 설계하여야 한다.	1	['원칙관로구조물은', '기밀성을', '가지며']
107	포스트텐셔닝 부재의 경우 콘크리트를 치는 데 지장이 없고 긴장할 때 긴장재가 덕트를 파손하지 않도록 조치한 경우, 덕트를 다발로 사용할 수 있다.	1	['긴장재가', '덕트를', '파손하지 않도록']
108	버팀공의 구조형식에는 버팀판, 버팀널말뚝, 버팀직선말뚝, 버팀틀말뚝 등이 있으며, 여기서는 버팀판 및 버팀널말뚝의 설계에 한정한다.	0	
109	전면 또는 후면의 편심전단강도는 다음 식 (4.11-16)과 같이 계산한다.	0	
110	가새의 휨과 압축의 조합력에 대한 소요강도는 KDS 41 00 00의 하중조합에 의해 산정한다.	0	
111	사용성 검토는 균열, 처짐, 피로의 영향 등을 고려하여 이루어져야 한다.	1	['검토는', '등을', '이루어져야 한다.']
112	슬롯용접선의 횡방향 최소간격은 슬롯 폭의 4배로 한다.	0	
113	U형 스터럽의 가닥 상부에 50mm 간격으로 2개의 종방향 철선을 배치하여야 한다.	0	
114	이 기준은 선설치앵커(헤드볼트, 헤드스터드, 갈고리 볼트)와 후설치앵커(비틀림제어 확장앵커, 변위제어 확장앵커, 언더컷앵커, 부착식 앵커)에 모두 적용된다.	0	
115	다음과 같은 경우에는 간이 계산법을 사용할 수 없다.	0	
116	또한 배치된 전체 철근이 140MPa 이상의 응력을 발휘할 수 있어야 한다.	1	['응력을', '철근이', '한다.']
117	합성 특수 모멘트골조에 사용된 매입형 합성기둥은 다음의 요구사항을 만족해야 한다.	1	['합성기둥은', '요구사항을', '만족해야 한다.']
118	스트럿의 강도를 증가시키기 위해 압축철근을 사용할 수 있으며, 콘크리트 스트럿의 중심선에 평행하게 배치된 압축철근을 적절하게 정착하고, 압축요소를 위한 횡방향 보강재의 규정을 만족하는 띠철근 또는 나선철근의 내측에 스트럿을 배치하여야 한다.	0	
119	현장치기콘크리트 시공에서 4.2.3.1을 만족시키는 보강방법으로서 종방향 철근을 받침부재인 주각 또는 기초판까지 연장시키거나 다월철근으로 연결시켜야 한다.	0	
120	설계전단강도는 스터럽 내력, 휨철근의 부착 내력, 복부 경사콘크리트의 내력 중에서 최솟값으로 한다.	0	
121	이러한 경우에 별도의 연결철근을 옵셋되는 기둥의 축방향 철근과 겹침이음하여 사용하며, 겹침이음은 KDS 14 20 52(4.7)의 규정을 따라야 한다.	1	['겹침이음은', '규정을', '따라야 한다.']
122	구조물의 완성형상을 관리하기 위해 필요에 따라서 제작변형(솟음)을 부가할 필요가 있다.	0	
123	횡하중을 포함하는 하중조합에 대한 해석은 초기 불완정성을 포함하지 않는다.	1	['해석은', '불완정성을', '포함하지 않는다.']
124	플랜지를 가진 벽체의 경우 경계요소는 압축을 받는 유효플랜지 부분뿐만 아니라 복부 쪽으로 적어도 300mm 이상 포함하여야 한다.	0	
125	이때 평가입력값은 4.2에 따라 결정하여야 한다.	0	
126	철근은 아연도금 또는 에폭시수지 도막이 가능하며, 이들 철근은 KS D 3629의 규정을 따라야 한다.	1	['철근은', '규정을', '한다.']
127	28일 평균 압축강도는 KDS 14 20 10(식 (4.3-3))으로 구하며, 시간에 따른 콘크리트의 강도발현은 식 (3.1-15)와 같이 구할 수 있다.	0	
128	KDS 14 20 22(4.11.7)에 규정된 식(4.11-14), 식(4.11-15)의 만큼의 불균형휨모멘트는 슬래브 위험단면 내에서 휨에 의해 전달된다고 간주한다.	0	
129	지진효과에 저항하기 위해 연성강재를 사용하는 이형철근은 KS D 3504에서 정하는 SD300, SD400S로 제한한다.	0	
130	보는 (1)과 (2)에 따라 산정한 전단력뿐만 아니라 보에 직접 작용하는 계수하중에 의한 전단력에 견디도록 설계하여야 한다.	0	
131	그러나 한 다발 내에서 각 철근의 이음은 한 군데에서 중복하지 않아야 한다.	0	
132	4.8.5에서는 조명탑⋅통신탑⋅송전탑⋅관람탑⋅광고탑 등의 철탑류, 강제 굴뚝류, 그 밖의 탑체 형상을 만드는 강구조물의 구조설계에 적용한다.	0	
133	강도한계상태는 압축좌굴, 시공 중 압축력과 휨모멘트에 의한 소성힌지 발생, 대골형의 경우 완공 후 압축력과 휨모멘트에 의한 소성힌지 발생 및 이음부 파괴에 대한 것이고, 사용한계상태는 시공 중 변형에 대한 것이다.	0	
134	계수휨모멘트에 저항할 철근은 KDS 14 20 20(4.1, 4.2)에 따라 구하여야 한다.	0	
135	다만, 책임구조기술자가 승인한 경우에는 용접할 수 있다.	0	
136	다만, 값은 2 이하로 하여야 한다.	0	
137	접합면에서 보의 종방향 철근의 작용력은 휨인장철근의 응력을 가정하여 결정하여야 한다.	1	['작용력은', '응력을', '가정하여']
138	중진 지역에 속하거나 또는 중간 지진위험도가 요구되는 구조물은 중간 또는 특수모멘트골조 및 보통, 중간, 특수철근콘크리트 구조벽이 지진력에 저항하도록 설계하여야 한다.	0	
139	또한 받침부의 최대 부계수휨모멘트는 전체 계수활하중의 3/4이 그 받침부에 인접한 두 슬래브 판들에만 작용할 때 발생한다고 가정할 수 있다.	0	
140	아이바 몸체의 폭은 아이바 두께의 8배를 초과해서는 안 된다.	1	['폭은', '8배를', '초과해서는 안 된다.']
141	연속합성보의 휨강성 산정에서 환산단면2차모멘트 값은 정모멘트 구간의 값으로 사용하며, 보의 경간 전체에 대해서 균등하다고 가정할 수 있다.	0	
142	연속적으로 접촉하는 판과 형강 또는 2개의 판요소들을 접합하는 연결재의 길이방향 간격에 대한 제한조건은 KDS 14 31 25(4.1.1.10)에 규정하고 있다.	0	
143	비보강 플랜지압축플랜지의 공칭휨강도는 다음과 같이 구한다.	0	
144	스터드 전단연결재의 중심 간 간격은 슬래브 총 두께의 8배 또는 900mm를 초과할 수 없다.	1	['간격은', '900mm를', '초과할 수 없다.']
145	낄판을 사용한 두 개 이상의 형강으로 구성된 조립인장재에서 개재의 세장비는 300 이하로 한다.	0	
146	강도저감계수는 다음과 같다.	0	
147	합성기둥의 단면형상은 2축 대칭이어야 하며, 전체 길이에 걸쳐 등단면이어야 한다.	0	
148	합성단면이 2개 이상의 형강재를 조립한 단면인 경우 형강재들은 콘크리트가 경화하기 전에 가해진 하중에 의해 각각의 형강재가 독립적으로 좌굴하는 것을 막기 위해 띠판 등과 같은 부재들로 서로 연결해야 한다.	1	['형강재가', '것을', '막기']
149	다만 도로교의 경우 지진 및 선박충돌에 대한 하중은 별도로 고려한다.	0	
150	단면설계시 유효폭의 슬래브를 포함한 합성단면의 단면계수 또는 식 (4.7-9)의 합성단면계수과 식 (4.7-22)의 허용휨응력을 적용한다.	0	
151	강관이 세장비가 큰 행거, 지주 또는 트러스부재 등에 사용되는 경우에는 바람에 의한 진동을 제한하기 위해 그 강관의 바깥지름은 식 (4.8-1)을 만족시켜야 한다.	1	['바깥지름은', '(4.8-1)을', '만족시켜야 한다.']
152	버팀공의 설치 위치는 강널말뚝의 주동붕괴면과 버팀공 수동붕괴면을 고려하여 결정한다.	1	['위치는', '수동붕괴면을', '고려하여']
153	철근은 접합부의 철근콘크리트 요소에 작용하는 모든 인장력에 저항할 수 있도록 배근되어야 한다.	0	
154	중간웨브 보강재는 웨브 전체높이와 같아야 한다.	0	
155	콘크리트의 염소이온 확산계수의 예측값은 평가 대상 콘크리트에 대해 실제 실험이나 실측된 자료를 통해 구한 확산계수에 물-결합재비 또는 PS 강재비에 따른 보정을 한 부록 식(4.2-2)와 부록 식(4.2-3)에 따라 계산할 수 있다.	0	
156	케이블구조물에서는 필요에 따라서 시공중의 안전성을 조사하고 설계에 반영한다.	0	
157	인장을 받는 확대머리 이형철근의 정착길이는 정착 부위에 따라 다음 (2) 또는 (3)으로 구할 수 있다.	0	
158	겹침이음, 맞댐용접이음, 기계적이음 또는 단부 지압이음은 다음 (2)에서 (6)까지 규정의 제한조건에 따라 사용하여야 한다.	0	
159	다만, 강봉에는 적용하지 않는다.	0	
160	핀은 나사부가 연결부재 내에 있지 않도록 충분한 길이를 가져야 한다.	1	['핀은', '길이를', '가져야 한다.']
161	모든 가새는 부재에 대해 직각으로 설치되는 것으로 가정하며, 가새가 경사진 경우나, 대각가새인 경우에는 가새의 강도 및 강성은 경사각에 따라 보정해야 한다.	0	
162	이때 D41과 D51 철근은 D35 이하 철근과의 겹침이음을 할 수 있다.	1	['철근은', '겹침이음을', '할 수 있다.']
163	폐복식 아치에서는 스프링잉과 측벽의 적당한 위치에 신축이음을 두어야 한다.	0	
164	4.5.4.2.4에서 아치구조물의 정점부의 곡률중심과 정점부를 연결하는 직선에서 각도만큼 이격되고 정점부 곡률중심을 지나는 두 직선 사이의 아치부분을 상부라 하고 그 이외의 부분을 하부라 한다.	0	
165	용접 후 밑면에서 머리 최상단까지의 스터드 전단연결재 길이는 몸체직경의 4배 이상으로 한다.	0	
166	4.8.4.3은 저장탱크의 설계에 적용한다.	0	
167	휨모멘트를 받는 강재 보와 콘크리트 슬래브가 합성작용하기 위해서는 총 수평전단력은 해석상의 값과 상관없이 다음과 같이 산정한다.	0	
168	단면2차모멘트와 회전반경수평보강재는 다음 조건을 만족해야 한다.	1	['회전반경수평보강재는', '조건을', '만족해야 한다.']
169	쪼갬인장강도 시험 결과를 현장 콘크리트의 적합성 판단 기준으로 사용할 수 없다.	0	
170	띠판의 재축방향 길이는 조립부재 개별부재를 연결시키는 용접이나 연결재 사이거리의 2/3 이상이 되어야 하고, 띠판 두께는 이 열 사이거리의 1/50 이상 되어야 한다.	0	
171	앵커볼트가 기둥 상단이나 주각 상단에 위치한 경우에 앵커볼트는 기둥이나 주각의 적어도 4개 이상의 수직철근을 감싸고 있는 횡방향 철근에 의해 둘러싸여져야 한다.	0	
172	각 전단머리의 부재 강성과 그에 인접한 폭의 합성균열슬래브 단면에 대한 강성의 비를 0.15 이상으로 하여야 한다.	0	
173	고온 및 고열에서 주요 구조부의 설계강도는 강재의 온도특성을 고려하여 결정되는 공칭강도에 화재한계상태에 대한 강도감소계수를 곱하여 계산한다.	1	['설계강도는', '강도감소계수를', '곱하여']
174	고장력볼트의 규정 최소강도는 표 3.3-4에 나타낸 값으로 한다.	0	
175	프리캐스트콘크리트 건물의 설계는 프리캐스트콘크리트 조립식 건축구조 설계기준에 따를 수 있다.	0	
176	전단강도를 위하여 배치된 철근은 연속이어야 하고 전체 단면에 대하여 균등하게 분포시켜야 한다.	0	
177	지판은 받침부 중심선에서 각 방향 받침부 중심 간 경간의 1/6 이상을 각 방향으로 연장시켜야 한다.	1	['지판을', '이상을', '연장시켜야 한다.']
178	경사 웨브의 경우 모든 설계요구조건에서 경사를 고려한 웨브 길이를 적용하여 검토해야 한다.	0	
179	발주자는 구조물의 요구내구수명을 결정하여야 하며, 설계자는 콘크리트 구조물이 실제로 건설되는 위치의 환경조건을 고려하여 노출환경조건을 결정하여야 한다.	1	['발주자는', '요구내수수명을', '결정하여야 하며']
179	발주자는 구조물의 요구내구수명을 결정하여야 하며, 설계자는 콘크리트 구조물이 실제로 건설되는 위치의 환경조건을 고려하여 노출환경조건을 결정하여야 한다.	1	['설계자는', '노출환경조건을', '결정하여야 한다.']
180	겹침이음의 경우 최소 겹침길이는 연결부의 얇은 쪽 판 두께의 5배 또는 25mm로 한다.	0	
181	다른 재령에서 시험을 한 경우에는 시험 일자를 설계도나 공사시방서에 명기하여야 한다.	0	
182	강관구조의 트러스접합은 하나 이상의 지강관으로 구성되고 접합부를 통과하는 연속적인 주강관에 직접 용접된 접합부로 정의하며 다음과 같이 분류한다.	0	
183	현장에서 양생한 공시체의 제작, 시험 및 강도 결과는 다음 ①에서 ④의 규정을 만족하여야 한다.	1	['결과는', '규정을', '만족하여야 한다.']
184	콘크리트 구조 부재 또는 D영역은 이상화된 트러스 모델로 설계할 수 있다.	0	
185	박판구조물의 하중 집중점에는 수직보강재 또는 다이아프램을 설치하는 것을 원칙으로 한다.	0	
186	내진해석내진설계 시에는 동적해석을 원칙으로 하며, 응답스펙트럼법 또는 시각이력해석법을 사용한다.	0	
187	철근은 식 (4.3-2)와 같은 설계휨강도를 확보하도록 산정하여야 한다.	1	['철근은', '설계휨강도를', '확보하도록']
