file,sentence
KDS 14 20 70.txt,"주열대는 기둥 중심선 양쪽으로 0.25와 0.25 중 작은 값을 한쪽의 폭으로 하는 슬래브의 영역을 가리킨다.
"
KDS 14 20 70.txt,"받침부 사이의 보는 주열대에 포함한다.
"
KDS 14 20 70.txt,"중간대는 두 주열대 사이의 슬래브 영역을 가리킨다.
"
KDS 14 20 70.txt,"보가 슬래브와 일체로 되거나 완전한 합성구조로 되어 있을 때, 보의 단면은 보가 슬래브의 위 또는 아래로 내민 깊이 중 큰 깊이만큼을 보의 양측으로 연장한 슬래브 부분을 포함한 것으로서, 보의 한 측으로 연장되는 거리는 슬래브 두께의 4배 이하로 하여야 한다.
"
KDS 14 20 70.txt,"슬래브와 기둥의 접합부에서 전단에 대한 위험단면을 확장시킬 때는 전단머리를 슬래브 아래로 돌출시켜야 하고, 돌출된 두께만큼 기둥 표면부터 최소 위험단면을 넓혀야 한다.
"
KDS 14 20 70.txt,"슬래브 시스템은 평형조건과 기하학적 적합조건을 만족한다면 어떠한 방법으로도 설계할 수 있다. 다만, 모든 단면의 설계강도가 KDS 14 20 10(3) 적용한 소요강도 이상이어야 하고 처짐의 제한 등 사용성을 만족하여야 한다.
"
KDS 14 20 70.txt,"슬래브와 보가 있을 경우 받침부 사이의 보 및 이들과 직교하여 골조를 이루는 기둥 또는 벽체를 포함하는 슬래브 시스템은 연직하중에 대하여 4.1.3에서 규정하고 있는 직접설계법이나 4.1.4에서 규정하고 있는 등가골조법으로 설계할 수 있다.
"
KDS 14 20 70.txt,"횡방향 변위가 발생하는 골조의 횡력해석을 위한 부재의 강성은 철근과 균열의 영향을 고려하여야 한다.
"
KDS 14 20 70.txt,"슬래브 시스템이 횡하중을 받는 경우 횡력해석과 연직하중의 해석 결과는 조합하여야 한다.
"
KDS 14 20 70.txt,"슬래브와 보가 있을 경우 받침부 사이의 보는 모든 단면에서 발생하는 계수휨모멘트에 저항할 수 있도록 설계하여야 한다.
"
KDS 14 20 70.txt,"연직하중, 풍하중, 지진하중 또는 기타 횡방향 하중으로 인하여 슬래브와 기둥 사이에 휨모멘트가 전달될 때, 이 불균형휨모멘트는 KDS 14 20 22(4.11.7)에 따라 설계되어야 한다.
"
KDS 14 20 70.txt,"KDS 14 20 22(4.11.7)에 규정된 식(4.11-14), 식(4.11-15)의 만큼의 불균형휨모멘트는 슬래브 위험단면 내에서 휨에 의해 전달된다고 간주한다.
"
KDS 14 20 70.txt,"여기서, 슬래브 위험단면은 기둥 또는 기둥머리 면에서 양쪽으로 슬래브나 지판 유효 두께의 0.5배(0.5 ) 만큼 떨어진 폭을 나타낸다.
"
KDS 14 20 70.txt,"전단과 비틀림에 의하여 슬래브에서 기둥과 벽체로 전달되는 하중에 대한 설계는 KDS 14 20 22 기준에 따라야 한다.
"
KDS 14 20 70.txt,"플랫 슬래브에서 기둥 상부의 부모멘트에 대한 철근을 줄이기 위하여 지판을 사용하는 경우 지판의 크기는 다음 (2)에서 (4)까지 규정에 따라야 한다.
"
KDS 14 20 70.txt,"지판은 받침부 중심선에서 각 방향 받침부 중심 간 경간의 1/6 이상을 각 방향으로 연장시켜야 한다.
"
KDS 14 20 70.txt,"지판의 슬래브 아래로 돌출한 두께는 돌출부를 제외한 슬래브 두께의 1/4 이상으로 하여야 한다.
"
KDS 14 20 70.txt,"지판 부위의 슬래브 철근량을 계산할 때 슬래브 아래로 돌출한 지판의 두께는 지판의 외단부에서 기둥이나 기둥머리 면까지 거리의 1/4 이하이어야 한다.
"
KDS 14 20 70.txt,"다음 (2)에서 (8)까지 규정을 만족하는 슬래브 시스템은 직접설계법을 사용하여 설계할 수 있다.
"
KDS 14 20 70.txt,"각 방향으로 3경간 이상 연속되어야 한다.
"
KDS 14 20 70.txt,"슬래브 판들은 단변 경간에 대한 장변 경간의 비가 2 이하인 직사각형이어야 한다.
"
KDS 14 20 70.txt,"각 방향으로 연속한 받침부 중심간 경간 차이는 긴 경간의 1/3 이하이어야 한다.
"
KDS 14 20 70.txt,"연속한 기둥 중심선을 기준으로 기둥의 어긋남은 그 방향 경간의 10% 이하이어야 한다.
"
KDS 14 20 70.txt,"모든 하중은 슬래브 판 전체에 걸쳐 등분포된 연직하중이어야 하며, 활하중은 고정하중의 2배 이하이어야 한다.
"
KDS 14 20 70.txt,"모든 변에서 보가 슬래브를 지지할 경우 직교하는 두 방향에서 보의 상대강성은 식 (4.1-1)을 만족하여야 한다.
"
KDS 14 20 70.txt,"직접설계법으로 설계한 슬래브 시스템은 KDS 14 20 10(4.2)에서 허용한 휨모멘트 재분배를 적용할 수 없다.
"
KDS 14 20 70.txt,"휨모멘트의 재분배는 4.1.3.7을 참조한다.
"
KDS 14 20 70.txt,"4.1.2.2의 규정을 만족하는 해석으로 입증한다면 4.1.3.1의 제한 사항을 다소 벗어나더라도 직접설계법을 적용할 수 있다.
"
KDS 14 20 70.txt,"각 경간의 전체 정적 계수휨모멘트는 받침부 중심선 양측의 슬래브 판 중심선을 경계로 하는 설계대 내에서 산정하여야 한다.
"
KDS 14 20 70.txt,"정계수휨모멘트와 평균 부계수휨모멘트의 절댓값의 합은 어느 방향에서나 다음 값 이상으로 하여야 한다.
"
KDS 14 20 70.txt,"받침부 중심선 양측 슬래브 판의 직각방향 경간이 다른 경우, 식 (4.1-2)의 는 이들 횡방향 두 경간의 평균값으로 하여야 한다.
"
KDS 14 20 70.txt,"가장자리에 인접하고 그에 평행한 경간은 식 (4.1-2)의 는 가장자리부터 슬래브 판 중심선까지 거리로 하여야 한다.
"
KDS 14 20 70.txt,"순경간은 기둥, 기둥머리, 브래킷 또는 벽체의 내면 사이의 거리이다.
"
KDS 14 20 70.txt,"원형이나 정다각형 받침부는 같은 단면적의 정사각형 받침부로 취급하여야 한다.
"
KDS 14 20 70.txt,"부계수휨모멘트는 직사각형 받침부 면에 위치하는 것으로 한다.
"
KDS 14 20 70.txt,"원형이나 정다각형 받침부는 같은 단면적의 정사각형 받침부로 취급할 수 있다.
"
KDS 14 20 70.txt,"내부 경간에서는 전체 정적 계수휨모멘트를 다음과 같은 비율로 분배하여야 한다.
"
KDS 14 20 70.txt,"단부 경간에서는 전체 정적 계수휨모멘트를 표 4.1-1에 따라 분배하여야 한다.
"
KDS 14 20 70.txt,"불균형휨모멘트를 인접한 부재의 강성에 따라 분배되도록 해석하여 설계하거나 받침부 양쪽 경간의 부계수휨모멘트 중 큰 휨모멘트에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"슬래브 단부 또는 테두리보는 외부 받침부의 부계수휨모멘트가 분배되는 만큼 비틀림에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"주열대는 내부 받침부의 부계수휨모멘트를 표 4.1-2의 비율로 분배한 휨모멘트에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"주열대는 외부 받침부의 부계수휨모멘트를 표 4.1-3의 비율로 분배한 휨모멘트에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"계산에 사용한 경간 의 3/4 이상이 기둥이나 벽체로 지지되는 경우, 부모멘트는 를 따라 균등하게 분포한다고 간주할 수 있다.
"
KDS 14 20 70.txt,"주열대는 정계수휨모멘트를 표 4.1-4의 비율로 분배한 휨모멘트에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"받침부 사이에 보가 있는 슬래브의 주열대는 보가 부담하지 않는 주열대 휨모멘트에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"보는 (1), (2)와 4.1.3.2(2)의 규정에 따라 등분포하중에 대하여 산정한 휨모멘트뿐만 아니라, 슬래브 상하로 내민보 부분의 무게와 보에 직접 작용하는 집중하중이나 분포하중에 의한 휨모멘트에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"주열대가 부담하지 않는 정 및 부계수휨모멘트의 분담분은 주열대 양쪽의 1/2 중간대에 비례하여 할당하여야 한다.
"
KDS 14 20 70.txt,"각 중간대는 2개의 1/2 중간대에 할당한 휨모멘트들의 합에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"벽체가 지지하는 가장자리에 인접하고, 그에 평행한 중간대는 첫 번째 내부 받침부의 1/2 중간대에 할당된 휨모멘트의 2배를 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"고려하는 방향에서 슬래브 판에 대한 전체 정적 계수휨모멘트가 식 (4.1-2)에 의해 요구된 휨모멘트보다 작지 않은 범위 내에서 정 및 부계수휨모멘트는 10%까지 수정할 수 있다.
"
KDS 14 20 70.txt,"보는 (1)과 (2)에 따라 산정한 전단력뿐만 아니라 보에 직접 작용하는 계수하중에 의한 전단력에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"슬래브의 전단강도는 (1)과 (2)에 따라 하중이 보에 분배된다는 가정에 의해 산정하여야 한다.
"
KDS 14 20 70.txt,"또한 슬래브는 슬래브 판에 일어나는 전체 전단력에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"전단강도는 KDS 14 20 22의 규정을 만족하여야 한다.
"
KDS 14 20 70.txt,"슬래브 시스템과 일체로 이루어진 기둥과 벽체들은 슬래브 시스템에 작용하는 계수하중에 의해 발생하는 휨모멘트에 견딜 수 있어야 한다.
"
KDS 14 20 70.txt,"전체적인 해석을 하지 않는 한, 내부 받침부에서 슬래브 상하의 받침부재는 상하 부재의 강성에 직접 비례하여 식 (4.1-3)에 규정된 휨모멘트를 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"등가골조법에 의한 슬래브 시스템의 설계는 4.1.4.2부터 4.1.4.6까지 규정의 기본 가정을 바탕으로 하고, 이로부터 얻은 휨모멘트와 전단력에 견디도록 슬래브 및 받침부재의 모든 단면을 설계하여야 한다.
"
KDS 14 20 70.txt,"강재로 된 기둥머리를 사용하는 경우, 휨모멘트와 전단력에 대한 이들 기둥머리의 강성과 저항력을 고려할 수 있다.
"
KDS 14 20 70.txt,"직접응력에 의한 기둥과 슬래브의 길이변화와 전단력에 의한 처짐은 무시할 수 있다.
"
KDS 14 20 70.txt,"건물 전체 구조는 가로 및 세로방향의 기둥선을 따라 등가골조로 이루어진다고 간주할 수 있다.
"
KDS 14 20 70.txt,"각 골조는 기둥이나 받침부의 중심선을 기준으로 한 좌우 슬래브 판의 중심선에 의해서 구획된 일련의 기둥 또는 받침부와 슬래브-보 대로 구성하여야 한다.
"
KDS 14 20 70.txt,"기둥 또는 받침부는 비틀림 부재에 의해 슬래브-보에 연결되어 있다고 가정한다(4.1.4.5 참조).
"
KDS 14 20 70.txt,"이 비틀림 부재는 휨모멘트를 산정하는 경간방향에 직교하고 기둥 측면부터 등가골조로 구획된 양측 슬래브 판 중심선까지 연장되는 것으로 가정할 수 있다.
"
KDS 14 20 70.txt,"단부에 인접하고 그에 평행한 골조는 그 단부와 인접한 슬래브 판의 중심선에 의해 구획되어야 한다.
"
KDS 14 20 70.txt,"각 등가골조는 전체적으로 해석할 수 있으나, 연직하중에 대해서는 상하 기둥의 먼 단부를 고정으로 간주하여 각 층별로 해석할 수도 있다.
"
KDS 14 20 70.txt,"슬래브-보를 각 층별로 분리하여 해석할 경우, 연속 슬래브의 한 받침부의 휨모멘트는 슬래브-보가 그 받침부부터 두 경간 떨어진 받침부가 고정되어 있다고 가정하여 구할 수 있다.
"
KDS 14 20 70.txt,"접합부 또는 기둥머리 바깥의 슬래브-보 단면의 단면2차모멘트는 콘크리트 단면 전체에 대하여 산정하여야 한다.
"
KDS 14 20 70.txt,"골조를 해석할 때 슬래브-보의 축을 따라 변하는 단면2차모멘트 변화를 고려하여야 한다.
"
KDS 14 20 70.txt,"기둥 중심에서 기둥, 브래킷 및 기둥머리 면까지의 슬래브-보의 단면2차모멘트는 기둥, 브래킷 및 기둥머리 면의 단면2차모멘트를 으로 나눈 값과 같다고 가정하여야 한다.
"
KDS 14 20 70.txt,"접합부 또는 기둥머리 바깥에 있는 기둥의 단면2차모멘트는 콘크리트 단면 전체에 대하여 산정하여야 한다.
"
KDS 14 20 70.txt,"기둥의 축을 따라서 변하는 단면2차모멘트의 변화는 골조를 해석할 때 고려하여야 한다.
"
KDS 14 20 70.txt,"슬래브-보의 윗면과 아래면 사이 접합부에서 기둥단면의 단면2차모멘트는 무한대로 가정하여야 한다.
"
KDS 14 20 70.txt,"비틀림 부재(4.1.4.2(3) 참조)는 부재의 전체 길이에 걸쳐서 일정한 단면을 가지는 것으로 가정하고, 이 단면은 다음 중 큰 것으로 택하여야 한다.
"
KDS 14 20 70.txt,"휨모멘트를 결정 산정하는 경간방향의 기둥, 브래킷 또는 기둥머리의 폭과 같은 폭의 슬래브 부분
"
KDS 14 20 70.txt,"일체식이거나 완전합성구조일 경우 위의 ①에서 규정된 슬래브 부분에 슬래브 상하의 횡방향 보를 더한 것
"
KDS 14 20 70.txt,"비틀림 부재의 강성 는 근사적으로 다음 식 (4.1-4)로 계산할 수 있다.
"
KDS 14 20 70.txt,"휨모멘트를 결정하는 경간방향으로 보가 기둥에 연결되어 있는 경우의 비틀림강성은, 보가 없는 슬래브만의 단면2차모멘트에 대한 그 보를 포함한 슬래브 단면2차모멘트의 비를 곱하여 구하여야 한다.
"
KDS 14 20 70.txt,"활하중의 재하 상태를 아는 경우에는 그 하중 상태에 대하여 등가골조를 해석하여야 한다.
"
KDS 14 20 70.txt,"활하중의 재하 상태가 가변적이지만 그 크기가 고정하중의 3/4 이하인 경우 또는 활하중이 본질적으로 모든 슬래브 판에 동시에 작용하는 경우에는, 전체 슬래브 시스템에 전체 계수활하중을 재하할 때 모든 단면에 최대 계수휨모멘트가 발생한다고 가정할 수 있다.
"
KDS 14 20 70.txt,"(2)의 규정과 다른 하중 조건인 경우, 슬래브 판의 경간 중앙부의 최대 정계수휨모멘트는 전체 계수활하중의 3/4이 그 슬래브 판과 한 경간씩 건너 슬래브 판에 작용할 때 일어난다고 가정할 수 있다. 또한 받침부의 최대 부계수휨모멘트는 전체 계수활하중의 3/4이 그 받침부에 인접한 두 슬래브 판들에만 작용할 때 발생한다고 가정할 수 있다.
"
KDS 14 20 70.txt,"모든 단면의 계수휨모멘트는 전체 계수활하중이 모든 슬래브 판에 동시에 작용할 때 발생하는 값 이상이어야 한다.
"
KDS 14 20 70.txt,"브래킷이나 기둥머리가 있는 외부 받침부의 가장자리와 직각방향의 부계수휨모멘트에 대한 위험단면은 받침부 면에서 브래킷이나 기둥머리의 돌출길이의 1/2 이내에 있어야 한다.
"
KDS 14 20 70.txt,"받침부가 원형이나 정다각형일 경우, 같은 단면적의 정사각형 받침부로 취급하여 부계수휨모멘트에 대한 위험단면을 구한다.
"
KDS 14 20 70.txt,"슬래브-보 위험단면의 휨모멘트는 4.1.3.1(7)의 제한조건을 만족한다면, 4.1.3.4, 4.1.3.5 및 4.1.3.6의 규정에 따라 주열대, 보 및 중간대에 분배할 수 있다.
"
KDS 14 20 70.txt,"2방향 슬래브 시스템의 각 방향의 철근 단면적은 위험단면의 휨모멘트에 의해 결정하며 KDS 14 20 50(4.6)에서 요구하는 최소 철근량 이상이어야 한다.
"
KDS 14 20 70.txt,"위험단면의 철근 간격은 슬래브 두께의 2배 이하, 또한 300mm 이하로 하여야 한다. 다만 와플구조나 리브구조로 된 부분은 예외로 한다.
"
KDS 14 20 70.txt,"와플구조 상부의 슬래브 철근은 KDS 14 20 50(4.6)의 요구 사항에 따라야 한다.
"
KDS 14 20 70.txt,"불연속 단부에 직각방향인 정모멘트에 대한 철근은 슬래브의 끝까지 연장하여 직선 또는 갈고리로 150mm 이상 테두리보, 기둥 또는 벽체 속에 묻어야 한다.
"
KDS 14 20 70.txt,"불연속 단부에 직각방향인 부모멘트에 대한 철근은 KDS 14 20 52의 규정에 따라 구부림, 갈고리 또는 다른 방법으로, 받침부 면에서 테두리보, 기둥 또는 벽체 속으로 정착하여야 한다.
"
KDS 14 20 70.txt,"불연속 단부에서 슬래브가 테두리보나 벽체로 지지되어 있지 않은 경우 또는 슬래브가 받침부를 지나 캔틸레버로 되어 있는 경우에는 철근을 슬래브 내부에 정착할 수 있다.
"
KDS 14 20 70.txt,"외부 모퉁이 슬래브를 값이 1.0보다 큰 테두리보가 지지하는 경우, 모퉁이 부분의 슬래브 상, 하부에 다음 (2)에서 (4)에 따라 모퉁이 보강철근을 배치하여야 한다.
"
KDS 14 20 70.txt,"슬래브 상, 하부에 배치하는 특별 보강철근은 슬래브 단위폭당 최대 정모멘트와 같은 크기의 휨모멘트에 견딜 만큼 충분하여야 한다.
"
KDS 14 20 70.txt,"이 휨모멘트는 슬래브 상부에서는 모퉁이에서 그은 대각선에 직각인 축에, 슬래브 하부에서는 대각선에 평행한 축에 대하여 작용한다고 가정할 수 있다.
"
KDS 14 20 70.txt,"특별 보강철근은 모퉁이부터 긴 경간의 1/5 길이만큼 각 방향에 배치하여야 한다.
"
KDS 14 20 70.txt,"특별 보강철근은 슬래브 상부에서 대각선에 평행한 방향으로 배치하고 슬래브 하부의 경우 대각선에 직각방향으로 배치하여야 한다.
"
KDS 14 20 70.txt,"또는 특별 보강철근은 슬래브 상부와 하부에서 각각 슬래브 각 모서리에 평행하게 두 층으로 배치할 수 있다.
"
KDS 14 20 70.txt,"보가 없는 슬래브의 철근은 4.1.5의 모든 요구 조건과 더불어 그림 4.1-1에 표시한 최소 연장길이도 확보하여야 한다.
"
KDS 14 20 70.txt,"인접한 경간의 길이가 다를 경우, 받침부부터 부모멘트에 대한 철근의 최소 연장은 그림 4.1-1에 보인 바와 같이 하되 그 기준은 긴 경간으로 하여야 한다.
"
KDS 14 20 70.txt,"2방향 슬래브에서 굽힘철근은 슬래브 두께와 경간의 비가 굽힙철근의 굽힘각도가 45° 이하가 될 수 있는 경우에만 사용하여야 한다.
"
KDS 14 20 70.txt,"횡력을 지지하는 2방향 슬래브는 구조해석에 의하여 철근의 길이를 결정하여야 하며, 그림4.1-1의 최소 연장길이 이상으로 하여야 한다.
"
KDS 14 20 70.txt,"각 방향의 주열대 내의 모든 하부 철근이나 철선이 연속이거나 그림 4.1-1에 위치한 것과 같은 A급 겹침이음으로 이어야 한다.
"
KDS 14 20 70.txt,"각 방향으로 적어도 2개의 주열대 하부철근이나 철선이 기둥 위를 지나야 하며 외부 받침부에 정착하여야 한다.
"
KDS 14 20 70.txt,"전단머리가 있는 슬래브나 리프트-슬래브의 시공에서는 적어도 각 방향으로 2개의 부착된 하부 철근이나 철선이 가능한 한 기둥에 근접하게 전단머리나 리프팅 칼라를 지나도록 하여야 하며, 연속이거나 A급 겹침이음으로 이어야 한다.
"
KDS 14 20 70.txt,"외부 기둥에서는 이 철근을 전단머리나 리프팅 칼라에 정착시켜야 한다.
"
KDS 14 20 70.txt,"구조해석에 의하여 설계강도가 소요강도 이상이고 처짐제한을 포함하여 모든 사용성을 만족할 경우, 어떤 크기의 개구부도 슬래브 시스템 내에 둘 수 있다.
"
KDS 14 20 70.txt,"(1)에 따른 해석을 하지 않는다면, 보가 없는 슬래브 시스템은 다음에 따라 개구부를 둘 수 있다.
"
KDS 14 20 70.txt,"양 방향의 중간대가 겹치는 부분은 개구부가 없을 때의 소요철근량을 유지한다면 어떤 크기의 개구부도 둘 수 있다.
"
KDS 14 20 70.txt,"양 방향의 주열대가 겹치는 부분은 어느 쪽의 경간에서나 주열대 폭의 1/8 이상이 개구부에 의해 절단되지 않아야 한다.
"
KDS 14 20 70.txt,"개구부에 의해 절단된 철근량은 개구부 주변에 추가 배치하여야 한다.
"
KDS 14 20 70.txt,"주열대와 중간대가 겹치는 부분은 어느 설계대에 대해서도 개구부에 의하여 절단되는 철근이 1/4 이하이어야 한다.
"
KDS 14 20 70.txt,"KDS 14 20 22(4.11.6)의 전단에 대한 규정을 만족시켜야 한다.
"
KDS 14 20 70.txt,"개구부 크기가 슬래브 판 크기에 비해 상대적으로 작은 경우 개구부에 의해 절단되는 철근과 같은 단면적의 철근을 개구부 양쪽에 보강하여야 한다.
"
KDS 14 20 70.txt,"개구부가 슬래브 판 크기에 비해 상대적으로 큰 경우 각 모서리에서 캔틸레버 슬래브로 가정하여 설계할 수 있으며, 인접 슬래브를 설계할 때는 개구부의 영향을 고려하여야 한다.
"
KDS 14 20 70.txt,"개구부가 크고 한쪽으로 치우쳐서 위치한 경우 3변 연속이고 1변 자유인 슬래브로 취급할 수 있으며, 인접 슬래브를 설계할 때는 개구부의 영향을 고려하여야 한다.
"
KDS 14 20 70.txt,"기초판은 이 기준의 규정에 따라 계수하중과 그에 의해 발생되는 반력에 견디도록 설계하여야 한다.
"
KDS 14 20 70.txt,"기초판의 밑면적, 말뚝의 개수와 배열은 기초판에 의해 지반 또는 말뚝에 전달되는 힘과 휨모멘트, 그리고 토질역학의 원리에 의하여 계산된 지반 또는 말뚝의 허용지지력을 사용하여 산정하여야 한다.
"
KDS 14 20 70.txt,"이때 힘과 휨모멘트는 하중계수를 곱하지 않은 사용하중을 적용하여야 한다.
"
KDS 14 20 70.txt,"말뚝기초의 기초판 설계에서 말뚝의 반력은 각 말뚝의 중심에 집중된다고 가정하여 휨모멘트와 전단력을 계산할 수 있다.
"
KDS 14 20 70.txt,"기초판에서 휨모멘트, 전단력 그리고 철근정착에 대한 위험단면의 위치를 정할 경우, 원형 또는 정다각형인 콘크리트 기둥이나 주각은 같은 면적의 정사각형 부재로 취급할 수 있다.
"
KDS 14 20 70.txt,"기초판 윗면부터 하부철근까지 깊이는 직접기초의 경우는 150mm 이상, 말뚝기초의 경우는 300mm 이상으로 하여야 한다.
"
KDS 14 20 70.txt,"기초판 각 단면의 휨모멘트는 기초판을 자른 수직면에서 그 수직면의 한쪽 전체 면적에 작용하는 힘에 대해 계산하여야 한다.
"
KDS 14 20 70.txt,"기초판의 최대 계수휨모멘트를 계산할 때, 그 위험단면은 다음과 같이 구한다.
"
KDS 14 20 70.txt,"방향 기초판 또는 2방향 정사각형 기초판에서 철근은 기초판 전체 폭에 걸쳐 균등하게 배치하여야 한다.
"
KDS 14 20 70.txt,"2방향 직사각형 기초판의 각 방향 철근 배치는 다음 규정을 따라야 한다.
"
KDS 14 20 70.txt,"장변방향의 철근은 폭 전체에 균등히 배치시킨다.
"
KDS 14 20 70.txt,"단변방향의 철근은 전체 철근량에서 식 (4.2-1)에서 산출한 비율만큼 유효폭 내에 균등하게 배치한 후, 나머지 철근량을 이 유효폭 이외의 부분에 균등히 배치시킨다.
"
KDS 14 20 70.txt,"여기서, 유효폭은 기둥이나 주각의 중심선이 유효폭의 중심이 되도록 하며 기초판의 단변길이로 취한다.
"
KDS 14 20 70.txt,"흙이나 암반에 지지된 기초판의 전단강도는 KDS 14 20 22(4.11)의 슬래브와 기초판에 대한 규정에 따라야 한다.
"
KDS 14 20 70.txt,"기둥, 주각 또는 벽체를 지지하는 기초판의 전단력에 대한 위험단면은 4.2.2.1(2)①에 규정된 위치를 기준으로 결정하여야 한다.
"
KDS 14 20 70.txt,"그리고 강재 밑판을 갖는 기둥 또는 주각을 지지하는 기초판의 위험단면은 4.2.2.1(2)③에 규정된 위치를 기준으로 결정하여야 한다.
"
